time,open,high,low,close,Fast_MA,Slow_MA,Crossover,Bias,Market_bias,ltf_bias,Range,Entry,Level,SL,TP
2024-12-26 04:00:00,18.70335,18.74994,18.69594,18.73936,18.201723,18.081623933333333,0.0,Bullish,Bearish,Bearish,0.0008201999999997156,Sell,18.54578,18.54878,18.53578
2025-02-05 08:00:00,18.67289,18.67949,18.57629,18.59489,18.628833,18.7114376,0.0,Bearish,Bearish,Bearish,0.004521000000000441,Sell,18.36489,18.36789,18.354889999999997
2025-02-06 04:00:00,18.52849,18.57489,18.52769,18.56969,18.6453682,18.702721666666665,0.0,Bearish,Bearish,Bearish,0.004091799999997647,Sell,18.34809,18.35109,18.338089999999998
2025-02-13 12:00:00,18.46489,18.54269,18.45409,18.54129,18.5518676,18.64963966666667,0.0,Bearish,Bearish,Bearish,0.0048242000000016105,Sell,18.20669,18.20969,18.196689999999997
2025-02-14 20:00:00,18.33929,18.39121,18.30044,18.30813,18.4947996,18.621828,0.0,Bearish,Bearish,Bearish,0.00040360000000205787,Sell,18.19239,18.19539,18.182389999999998
2024-12-26 04:00:00,18.70335,18.74994,18.69594,18.73936,18.201723,18.081623933333333,0.0,Bullish,Bearish,Bearish,0.0008201999999997156,Sell,18.54578,18.54878,18.53578
2025-02-05 08:00:00,18.67289,18.67949,18.57629,18.59489,18.628833,18.7114376,0.0,Bearish,Bearish,Bearish,0.004521000000000441,Sell,18.36489,18.36789,18.354889999999997
2025-02-06 04:00:00,18.52849,18.57489,18.52769,18.56969,18.6453682,18.702721666666665,0.0,Bearish,Bearish,Bearish,0.004091799999997647,Sell,18.34809,18.35109,18.338089999999998
2025-02-13 12:00:00,18.46489,18.54269,18.45409,18.54129,18.5518676,18.64963966666667,0.0,Bearish,Bearish,Bearish,0.0048242000000016105,Sell,18.20669,18.20969,18.196689999999997
2025-02-14 20:00:00,18.33929,18.39121,18.30044,18.30813,18.4947996,18.621828,0.0,Bearish,Bearish,Bearish,0.00040360000000205787,Sell,18.19239,18.19539,18.182389999999998
2024-12-26 04:00:00,18.70335,18.74994,18.69594,18.73936,18.201723,18.081623933333333,0.0,Bullish,Bearish,Bearish,0.0008201999999997156,Sell,18.54578,18.54878,18.53578
2025-02-05 08:00:00,18.67289,18.67949,18.57629,18.59489,18.628833,18.7114376,0.0,Bearish,Bearish,Bearish,0.004521000000000441,Sell,18.36489,18.36789,18.354889999999997
2025-02-06 04:00:00,18.52849,18.57489,18.52769,18.56969,18.6453682,18.702721666666665,0.0,Bearish,Bearish,Bearish,0.004091799999997647,Sell,18.34809,18.35109,18.338089999999998
2025-02-13 12:00:00,18.46489,18.54269,18.45409,18.54129,18.5518676,18.64963966666667,0.0,Bearish,Bearish,Bearish,0.0048242000000016105,Sell,18.20669,18.20969,18.196689999999997
2025-02-14 20:00:00,18.33929,18.39121,18.30044,18.30813,18.4947996,18.621828,0.0,Bearish,Bearish,Bearish,0.00040360000000205787,Sell,18.19239,18.19539,18.182389999999998
2024-11-22 00:00:00,18.10752,18.10779,18.0657,18.08232,18.096393,17.763464333333335,1.0,Bullish,Bullish,Bullish,0.2311703999999999,,,,
2024-11-22 04:00:00,18.08275,18.1319,18.06111,18.11741,18.0989194,17.766262400000002,0.0,Bullish,Bullish,Bullish,0.25858440000000016,,,,
2024-11-22 08:00:00,18.11698,18.12826,18.00678,18.07962,18.1030672,17.769552133333335,0.0,Bullish,Bullish,Bullish,0.2396874000000011,,,,
2024-11-22 12:00:00,18.07948,18.09972,18.01127,18.07786,18.1059762,17.7727018,0.0,Bullish,Bullish,Bullish,0.3306819999999995,,,,
